"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","public_positional_accuracy","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","user_id","user_name","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"Pycnopodia helianthoides","2021-05-06 00:00:00 -0800","Specimen approx. 25 cm across. Rare at this site since the Sea Star Wasting Syndrome event of 2013. Depth 20 m on steep dropoff.","9 Mile Point, Sechelt Inlet, BC, Canada",49.6033600169,-123.7888974885,"British Columbia, Sechelt Inlet, Sunflower Star","Sunflower Sea Star","https://www.inaturalist.org/observations/340989083","https://inaturalist-open-data.s3.amazonaws.com/photos/620643265/medium.jpg","neilmcdaniel",340989083,"Pycnopodia helianthoides","Animalia",47673,1,0,"May 6, 2021","2021-05-06","","America/Vancouver",8,8,"","open","false","","",66282,"Neil McDaniel","2026-03-02 19:34:31 UTC","2026-03-02 19:47:20 UTC","research","CC-BY-NC",NA,NA,"false"
"Pycnopodia helianthoides","2023-05-10 11:31:04 -0800","","Ocean Cape Rd, AK, US",59.546295,-139.82338,"","Sunflower Sea Star","https://www.inaturalist.org/observations/340262312","https://inaturalist-open-data.s3.amazonaws.com/photos/619173262/medium.jpg","mariahdunlap",340262312,"Sunflower Sea Star","Animalia",47673,3,0,"2023-05-10 11:31:04","2023-05-10","2023-05-10 19:31:04 UTC","America/Yakutat",85,85,"","open","false","","",8935338,"","2026-02-26 04:59:55 UTC","2026-02-26 16:38:15 UTC","research","CC-BY-NC",NA,843,"false"
"Pycnopodia helianthoides","2026-02-25 13:29:31 -0800","","Bees Mill, Washington, United States",47.763387,-122.852898,"Sunflower Sea Star","Sunflower Sea Star","https://www.inaturalist.org/observations/340230347","https://static.inaturalist.org/photos/619108540/medium.jpg","diverdan55",340230347,"Sunflower Sea Star","Animalia",47673,1,0,"2026-02-25 13:29:31","2026-02-25","2026-02-25 21:29:31 UTC","Pacific Time (US & Canada)",NA,NA,"","open","false","","",7629798,"Daniel Hershman","2026-02-25 23:36:02 UTC","2026-02-25 23:42:28 UTC","research","CC-BY-NC-ND",NA,NA,"false"
"Pycnopodia helianthoides","2026-02-25 13:31:21 -0800","","Bees Mill, Washington, United States",47.763387,-122.852898,"Sunflower Sea Star","Sunflower Sea Star","https://www.inaturalist.org/observations/340230343","https://static.inaturalist.org/photos/619108527/medium.jpg","diverdan55",340230343,"Sunflower Sea Star","Animalia",47673,1,0,"2026-02-25 13:31:21","2026-02-25","2026-02-25 21:31:21 UTC","Pacific Time (US & Canada)",NA,NA,"","open","false","","",7629798,"Daniel Hershman","2026-02-25 23:36:00 UTC","2026-02-25 23:42:32 UTC","research","CC-BY-NC-ND",NA,NA,"false"
"Pycnopodia helianthoides","2021-08-24 00:00:00 -0800","A victim of Sea Star Wasting Syndrome.","Sechelt Inlet, BC, Canada",49.566884188,-123.8044573873,"British Columbia, Sechelt Inlet, Sunflower Sea Star","Sunflower Sea Star","https://www.inaturalist.org/observations/340076207","https://inaturalist-open-data.s3.amazonaws.com/photos/618787356/medium.jpg","neilmcdaniel",340076207,"Sunflower Sea Star","Animalia",47673,1,0,"Aug 24, 2021","2021-08-24","","America/Vancouver",8,8,"","open","false","","",66282,"Neil McDaniel","2026-02-24 21:34:48 UTC","2026-02-24 21:59:22 UTC","research","CC-BY-NC",NA,NA,"false"
"Pycnopodia helianthoides","2021-08-25 00:00:00 -0800","Specimen approx. 25 cm across at depth of 25 m. A rare sighting at this location since the SSWS event of 2013.","9 Mile Point, Sechelt Inlet, BC, Canada",49.6035266547,-123.7890940385,"British Columbia, Sechelt Inlet, Sunflower Sea Star","Sunflower Sea Star","https://www.inaturalist.org/observations/340070582","https://inaturalist-open-data.s3.amazonaws.com/photos/618775470/medium.jpg","neilmcdaniel",340070582,"Sunflower Sea Star","Animalia",47673,3,0,"Aug 25, 2021","2021-08-25","","America/Vancouver",31,31,"","open","false","","",66282,"Neil McDaniel","2026-02-24 20:45:58 UTC","2026-03-02 16:11:47 UTC","research","CC-BY-NC",NA,NA,"false"
"Pycnopodia helianthoides","2021-09-08 00:00:00 -0800","Small specimen, approx. 10 cm across.","Croker Island, Indian Arm, BC, Canada",49.4294775856,-122.8635679784,"British Columbia, Indian Arm, Sunflower Star","Sunflower Sea Star","https://www.inaturalist.org/observations/339967752","https://inaturalist-open-data.s3.amazonaws.com/photos/618564219/medium.jpg","neilmcdaniel",339967752,"Sunflower Sea Star","Animalia",47673,2,0,"Sep 8, 2021","2021-09-08","","America/Vancouver",84,84,"","open","false","","",66282,"Neil McDaniel","2026-02-24 01:00:43 UTC","2026-02-24 05:25:38 UTC","research","CC-BY-NC",NA,NA,"false"
"Pycnopodia helianthoides","2026-02-13 14:33:00 -0800","~15 cm diam","Belcarra, BC, Canada",49.3488080538,-122.8909227479,"","Sunflower Sea Star","https://www.inaturalist.org/observations/339962551","https://inaturalist-open-data.s3.amazonaws.com/photos/618547330/medium.jpg","imcote",339962551,"Sunflower Sea Star","Animalia",47673,2,0,"2026/02/13 2:33 PM","2026-02-13","2026-02-13 22:33:00 UTC","America/Vancouver",15,15,"","open","false","","",250108,"","2026-02-24 00:04:18 UTC","2026-02-24 02:42:48 UTC","research","CC-BY-NC",NA,NA,"false"
"Pycnopodia helianthoides","2026-02-21 14:17:00 -0800","","Nanaimo, BC, Canada",49.3134459717,-124.2430595133,"","Sunflower Sea Star","https://www.inaturalist.org/observations/339756370","https://inaturalist-open-data.s3.amazonaws.com/photos/618128524/medium.jpg","justinchans",339756370,"Sunflower Sea Star","Animalia",47673,1,0,"2026/02/21 2:17 PM","2026-02-21","2026-02-21 22:17:00 UTC","America/Vancouver",15,15,"","open","false","","",7104488,"Justin Chan","2026-02-22 17:20:56 UTC","2026-02-22 17:39:21 UTC","research","CC-BY-NC",NA,NA,"false"
"Pycnopodia helianthoides","2026-02-21 12:19:00 -0800","","Nanaimo, BC, Canada",49.313396675,-124.242613205,"","Sunflower Sea Star","https://www.inaturalist.org/observations/339694086","https://inaturalist-open-data.s3.amazonaws.com/photos/618002565/medium.jpg","justinchans",339694086,"Sunflower Sea Star","Animalia",47673,1,0,"2026/02/21 12:19 PM","2026-02-21","2026-02-21 20:19:00 UTC","America/Vancouver",15,15,"","open","false","","",7104488,"Justin Chan","2026-02-22 07:05:07 UTC","2026-02-22 12:42:40 UTC","research","CC-BY-NC",NA,NA,"false"
